"","Article.Title","Key.Author","Date.Published","News.Outlet","Preview","Link","All.Authors"
"11","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","bnd","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.bnd.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"12","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","bradenton","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.bradenton.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"13","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","lexington","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.kentucky.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"14","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","islandpacket","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer’s chicken, which is grown in bioreactors and blended with protein.      Believer Meats       Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.islandpacket.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"15","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","mercedsunstar","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.mercedsunstar.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"16","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","sacbee","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.sacbee.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"17","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","macon","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.macon.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"18","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","theolympian","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.theolympian.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"19","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","fresnobee","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.fresnobee.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"20","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","newstribune","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.thenewstribune.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"21","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","bellinghamherald","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.bellinghamherald.com/news/environment/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"22","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","macon","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.macon.com/news/environment/article270273937.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"23","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","charlotteobserver","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.charlotteobserver.com/news/state/north-carolina/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"24","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","raleighno","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.newsobserver.com/news/business/article270273937.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"25","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner","2022-12-27","casportsyahoo","Growing chickens and hogs is big business in North Carolina. Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility. Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://ca.sports.yahoo.com/news/nc-leading-pork-poultry-producer-120000542.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"26","
        
            EPA: Winston Salem fertilizer fire spiked pollution levels | Raleigh News & Observer
        
    ","Adam Wagner","2022-03-09","raleighno","A Forsyth County environmental official was shocked when he learned how much pollution an inferno at a Winston-Salem fertilizer plant was sending into the air.  Between midnight and 6 a.m. on Feb. 2, an Environmental Protection Agency air monitor set up at the Wake Forest University Police Station detected that particulate matter, called PM2.5, at an average level of 1,750 micrograms per cubic meter.","<a href='https://www.newsobserver.com/news/state/north-carolina/article259226925.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"27","
        
            Duke Energy defends greenhouse gas reduction process, says technical info not ready
        
    ","Adam Wagner","2022-03-08","independenttribune","Duke plans to create an online ""reading room"" where interested parties will be able to access data and alter inputs before running them through models. Monday, Jack Jirak, a deputy general counsel for Duke Energy, told the Utilities Commission that the information would be available within a week after the May 16 filing deadline.","<a href='https://independenttribune.com/news/local/duke-energy-defends-greenhouse-gas-reduction-process-says-technical-info-not-ready/article_a1410858-471e-5d86-baa3-5ee36d6ed572.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"28","
        
            Duke Energy defends greenhouse gas reduction process, says technical info not ready
        
    ","Adam Wagner","2022-03-08","theheraldsun","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.heraldsun.com/news/politics-government/article259153223.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"29","
        
            Duke Energy defends greenhouse gas reduction process, says technical info not ready
        
    ","Adam Wagner","2022-03-08","thestate","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.thestate.com/news/state/north-carolina/article259153223.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"30","
        
            Duke Energy defends greenhouse gas reduction process, says technical info not ready
        
    ","Adam Wagner","2022-03-08","thestate","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.thestate.com/news/state/north-carolina/article259153223.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"31","
        
            Duke Energy defends greenhouse gas reduction process, says technical info not ready
        
    ","Adam Wagner","2022-03-08","charlotteobserver","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.charlotteobserver.com/news/politics-government/article259153223.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"32","
        
            Duke, stakeholders differ on feedback in greenhouse gas cuts | Hilton Head Island Packet
        
    ","Adam Wagner","2022-03-08","islandpacket","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.islandpacket.com/news/state/north-carolina/article259153223.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"33","
        
            Duke, stakeholders differ on feedback in greenhouse gas cuts | Hilton Head Island Packet
        
    ","Adam Wagner","2022-03-08","islandpacket","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.islandpacket.com/news/state/north-carolina/article259153223.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"34","
        
            Duke, stakeholders differ on feedback in greenhouse gas cuts | Raleigh News & Observer
        
    ","Adam Wagner","2022-03-08","raleighno","Duke Energy and various groups who are interested in the company’s greenhouse gas reduction plan disagree about when details should be made available. The draft plan is due May 16, and Duke is proposing to make details available within a week.","<a href='https://www.newsobserver.com/news/politics-government/article259153223.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"35","
        
            ‘It’s not about just Ukraine anymore’: Community comes together for Raleigh supply drive
        
    ","Adam Wagner","2022-03-07","heraldonline","Natalya Thomasian found out Russia had invaded Ukraine from her sister, who called screaming to say their hometown was being bombed.  Thomasian’s family lives in Henichesk, a town a short distance from the Crimean border that received attention early in the conflict for a Ukrainian soldier who died while detonating a bridge in an effort to slow the invasion.","<a href='https://www.heraldonline.com/news/state/north-carolina/article259122473.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"36","
        
            ‘It’s not about just Ukraine anymore’: Community comes together for Raleigh supply drive
        
    ","Adam Wagner","2022-03-07","charlotteobserver","Natalya Thomasian found out Russia had invaded Ukraine from her sister, who called screaming to say their hometown was being bombed.  Thomasian’s family lives in Henichesk, a town a short distance from the Crimean border that received attention early in the conflict for a Ukrainian soldier who died while detonating a bridge in an effort to slow the invasion.","<a href='https://www.charlotteobserver.com/news/state/north-carolina/article259122473.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"37","
        
            ‘It’s not about just Ukraine anymore’: Community comes together for Raleigh supply drive
        
    ","Adam Wagner","2022-03-07","islandpacket","Natalya Thomasian found out Russia had invaded Ukraine from her sister, who called screaming to say their hometown was being bombed.  Thomasian’s family lives in Henichesk, a town a short distance from the Crimean border that received attention early in the conflict for a Ukrainian soldier who died while detonating a bridge in an effort to slow the invasion.","<a href='https://www.islandpacket.com/news/state/north-carolina/article259122473.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"38","
        
            ‘It’s not about just Ukraine anymore’: Community comes together for Raleigh supply drive
        
    ","Adam Wagner","2022-03-07","raleighno","Natalya Thomasian found out Russia had invaded Ukraine from her sister, who called screaming to say their hometown was being bombed.  Thomasian’s family lives in Henichesk, a town a short distance from the Crimean border that received attention early in the conflict for a Ukrainian soldier who died while detonating a bridge in an effort to slow the invasion.","<a href='https://www.newsobserver.com/news/local/article259122473.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"39","
        
            North Carolina residents support Ukraine at Capitol rally | Raleigh News & Observer
        
    ","Adam Wagner","2022-03-05","raleighno","Ukrainians in the Carolinas, a nonprofit organization, hosted a Stand With Ukraine rally Saturday afternoon on North Carolina State Capitol grounds. Hundreds attended the rally, which took place as Russia’s invasion of Ukraine enters its second week.        Tetyana Dashkin is sick of hearing Russian.  Dashkin was born in Ukraine, her husband in Russia, and they speak the language at home.","<a href='https://www.newsobserver.com/news/local/article259094758.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"40","
        
            Weatherization programs can lower NC residents’ energy bills | Durham Herald Sun
        
    ","Adam Wagner","2022-03-04","theheraldsun","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.heraldsun.com/news/state/north-carolina/article258971123.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"41","
        
            Weatherization programs can lower NC residents’ energy bills | Durham Herald Sun
        
    ","Adam Wagner","2022-03-04","theheraldsun","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.heraldsun.com/news/state/north-carolina/article258971123.html#storylink=rss' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"42","
        
            Weatherization programs can lower NC residents’ energy bills | Rock Hill Herald
        
    ","Adam Wagner","2022-03-04","heraldonline","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.heraldonline.com/news/state/north-carolina/article258971123.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"43","
        
            Weatherization programs can lower NC residents’ energy bills | Myrtle Beach Sun News
        
    ","Adam Wagner","2022-03-04","myrtlebeachonline","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.myrtlebeachonline.com/news/state/north-carolina/article258971123.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"44","
        
            Weatherization programs can lower NC residents’ energy bills | Charlotte Observer
        
    ","Adam Wagner","2022-03-04","charlotteobserver","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.charlotteobserver.com/news/state/north-carolina/article258971123.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"45","
        
            NC, Duke Energy offer programs to reduce energy costs. Here’s how to use them.
        
    ","Adam Wagner","2022-03-04","thestate","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.thestate.com/news/state/north-carolina/article258971123.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"46","
        
            Weatherization programs can lower NC residents’ energy bills | Raleigh News & Observer
        
    ","Adam Wagner","2022-03-04","raleighno","Weatherizing homes, including updating heat and air systems and adding insulation, is widely seen as a tool to address climate change by cutting energy demand. Home inspector Michael Taylor, of Home Inspection Carolina, checks an HVAC unit outside a home in south Charlotte on Friday, July 9, 2021.","<a href='https://www.newsobserver.com/news/state/north-carolina/article258971123.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"47","
        
            NC State study uses machine learning to find flooding danger | Raleigh News & Observer
        
    ","Adam Wagner","2022-03-03","raleighno","A NC State University study found that more than a million square miles of the United States are at risk of flood damage over a 14-year period. Here, firefighters with the Winston-Salem Fire Department evacuate residents at Creekwood Apartments as flood waters rise on Thursday, Nov.","<a href='https://www.newsobserver.com/news/state/north-carolina/article258936393.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"48","
        
            Climate, health fuel opponents of NC poultry power plant | Charlotte Observer
        
    ","Adam Wagner","2022-02-26","charlotteobserver","Meridith Allen is worried her family will suffer if a facility that burns poultry litter and parts for fuel is allowed to resume operations near her home.  Allen lives in Lumberton, about two miles away from a facility where NC Renewable Power feeds poultry waste and “poultry cakes” into a pair of boilers to generate electricity.","<a href='https://www.charlotteobserver.com/news/state/north-carolina/article258652993.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"49","
        
            Climate, health fuel opponents of NC poultry power plant | Durham Herald Sun
        
    ","Adam Wagner","2022-02-26","theheraldsun","Meridith Allen is worried her family will suffer if a facility that burns poultry litter and parts for fuel is allowed to resume operations near her home.  Allen lives in Lumberton, about two miles away from a facility where NC Renewable Power feeds poultry waste and “poultry cakes” into a pair of boilers to generate electricity.","<a href='https://www.heraldsun.com/news/state/north-carolina/article258652993.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"50","
        
            Climate, health fuel opponents of NC poultry power plant | Hilton Head Island Packet
        
    ","Adam Wagner","2022-02-26","islandpacket","Meridith Allen is worried her family will suffer if a facility that burns poultry litter and parts for fuel is allowed to resume operations near her home.  Allen lives in Lumberton, about two miles away from a facility where NC Renewable Power feeds poultry waste and “poultry cakes” into a pair of boilers to generate electricity.","<a href='https://www.islandpacket.com/news/state/north-carolina/article258652993.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"51","
        
            Winston-Salem plant fire shows environmental injustice | Raleigh News & Observer
        
    ","Adam Wagner","2022-02-07","raleighno","Ruby Gordon was already in bed last Monday night when she got the first call notifying her to evacuate her home in northern Winston-Salem.  The call was related to a fire at the Winston Weaver fertilizer facility on Cherry Street, about three-quarters of a mile away.  Gordon had driven by the building thousands of times. Sometimes she would see a truck coming or going, but, she said, “I didn’t know what was in that building, to be honest with you.","<a href='https://www.newsobserver.com/news/politics-government/article258036408.html' target=""_blank"">Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
