"","Title","author","outlet","links"
"33","
        
            Where will NC’s power come from? Hearing starting this week could be key to answers
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/politics-government/article265673191.html"
"34","
        
            ‘Really terrible science experiment’ leads to weeks-long spill from NC hog-waste lagoon
        
    ","Adam Wagner","The Charlotte Observer","https://www.charlotteobserver.com/news/state/north-carolina/article264779224.html"
"35","
        
            ‘Really terrible science experiment’ leads to weeks-long spill from NC hog-waste lagoon
        
    ","Adam Wagner","The Charlotte Observer","https://www.charlotteobserver.com/news/state/north-carolina/article264779224.html#storylink=rss"
"36","
        
            ‘Really terrible science experiment’ leads to weeks-long spill from NC hog-waste lagoon
        
    ","Adam Wagner","Rock Hill Herald","https://www.heraldonline.com/news/state/north-carolina/article264779224.html"
"37","
        
            'Really terrible science experiment' leads to weeks-long spill from NC hog-waste lagoon
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/state/north-carolina/article264779224.html"
"38","
        
            ‘Really terrible science experiment’ leads to weeks-long spill from NC hog-waste lagoon
        
    ","Adam Wagner","Rock Hill Herald","https://www.heraldonline.com/news/state/north-carolina/article264779224.html#storylink=rss"
"39","
        
            Duke wants to use some F-150 Lightning batteries. And it’ll pay part of the lease.
        
    ","Adam Wagner","Energy Central","https://energycentral.com/news/duke-wants-use-some-f-150-lightning-batteries-and-it%E2%80%99ll-pay-part-lease"
"40","
        
            Duke wants to use some F-150 Lightning batteries. And it’ll pay part of the lease.
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/business/article264652244.html"
"41","
        
            Duke wants to use some F-150 Lightning batteries. And it’ll pay part of the lease.
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/business/article264652244.html"
"42","
        
            Duke wants to use some F-150 Lightning batteries. And it’ll pay part of the lease.
        
    ","Adam Wagner","Rome News-Tribune","https://www.northwestgeorgianews.com/tribune/regional/duke-wants-to-use-some-f-150-lightning-batteries-and-it-ll-pay-part-of/article_db941d06-b6b8-5140-8b4a-7f35436e544f.html"
"43","
        
            Enviva’s proposed Ahoskie expansion would cut many emissions but add greenhouse gases
        
    ","Adam Wagner","The Charlotte Observer","https://www.charlotteobserver.com/news/politics-government/article264601211.html"
"44","
        
            Enviva’s proposed Ahoskie expansion would cut many emissions but add greenhouse gases
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/politics-government/article264601211.html"
"45","
        
            Enviva’s proposed Ahoskie expansion would cut many emissions but add greenhouse gases
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/politics-government/article264601211.html"
"46","
        
            Rooftop solar is expensive. 11 Triangle governments are trying to drive prices down.
        
    ","Adam Wagner","Yahoo Sports Canada","https://ca.sports.yahoo.com/news/rooftop-solar-expensive-11-triangle-143808694.html?src=rss"
"47","
        
            Rooftop solar is expensive. 11 Triangle governments are trying to drive prices down.
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/local/article264381296.html"
"48","
        
            Rooftop solar is expensive. 11 Triangle governments are trying to drive prices down.
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/local/article264381296.html#storylink=rss"
"49","
        
            Rooftop solar is expensive. 11 Triangle governments are trying to drive prices down.
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/local/article264381296.html"
"50","
        
            Cooper taps attorney to lead North Carolina’s clean energy efforts
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/politics-government/article263869027.html"
"51","
        
            Duke team gets global attention for rainforest drone project  :: WRAL.com
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/duke-team-gets-global-attention-for-rainforest-drone-project/20456838/"
"52","
        
            Residents want answers and accountability for toxic chemicals in NC drinking water
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/residents-want-answers-and-accountability-for-toxic-chemicals-in-nc-drinking-water/20451538/"
"53","
        
            One fish per day: Overfishing prompts limits on NC flounder
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/one-fish-per-day-overfishing-prompts-limits-on-nc-flounder/20442919/"
"54","
        
            EPA wants to designate two ‘forever chemicals’ as hazardous substances
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/epa-wants-to-designate-two-forever-chemicals-as-hazardous-substances/20434001/"
"55","
        
            Final public hearings set for Tuesday on carbon plan development
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/final-public-hearings-set-for-tuesday-on-carbon-plan-development/20427824/"
"56","
        
            Back-to-school shopping: How to save money while going green
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/back-to-school-shopping-how-to-save-money-while-going-green/20421779/"
"57","
        
            Hidden fossil fuel concessions in sweeping climate bill
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/hidden-fossil-fuel-concessions-in-sweeping-climate-bill/20415308/"
"58","
        
            Hidden fossil fuel concessions in sweeping climate bill approved by Congress
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/hidden-fossil-fuel-concessions-in-sweeping-climate-bill-approved-by-congress/20415308/"
"59","
        
            Climate change could be increasing fecal bacteria at NC beaches
        
    ","Liz McLaughlin","WCNC-TV (Charlotte, NC)","https://www.wcnc.com/article/tech/science/climate-change/climate-change-increased-fecal-bacteria-north-carolina-beaches-aging-infrastructure/275-c88de633-f92b-46c4-b196-b6d63cc2d6ce"
"60","
        
            Beachgoers beware: Climate change may be increasing fecal bacteria at North Carolina beaches
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/beachgoers-beware-climate-change-may-be-increasing-fecal-bacteria-at-north-carolina-beaches/20403789/"
"61","
        
            Wrightsville Beach renourishment project uncovers hundreds of thousands of tires in the ocean
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/wrightsville-beach-renourishment-project-uncovers-hundreds-of-thousands-of-tires-in-the-ocean/20400638/"
"62","
        
            Colonial Pipeline spill 30 times bigger than previously thought
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/colonial-pipeline-spill-30-times-bigger-than-previously-thought/20389264/"
"63","
        
            The secret second life of Dorothea Dix sunflowers
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/the-secret-second-life-of-dorothea-dix-sunflowers/20376579/"
"64","
        
            The secret second life of Dorthea Dix sunflowers
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/the-secret-second-life-of-dorthea-dix-sunflowers/20376579/"
"65","
        
            'King tides' this week may foreshadow norms of the future as sea level rises
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/king-tides-this-week-may-foreshadow-norms-of-the-future-as-sea-level-rises/20375092/"
"66","
        
            Concern over impact of rapid development in Durham County ahead of Tuesday's planning hearing
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/rising-concern-over-impact-of-development-in-durham-county-ahead-of-tuesday-s-planning-meeting/20369797/"
"67","
        
            Durham county development boom negatively impacts water quality
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/durham-county-development-boom-negatively-impacts-water-quality/20369797/"
"68","
        
            Rise in Durham development having adverse effect on local waterways
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/rise-in-durham-development-having-adverse-effect-on-local-waterways/20369666/"
"69","
        
            Invasive spotted lanternfly threatens North Carolina vineyards; Advice: Report it then kill it
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/invasive-spotted-lanternfly-threatens-north-carolina-vineyards-advice-report-it-then-kill-it/20363149/"
"70","
        
            Spotted lanternfly threatens vineyards
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/spotted-lanternfly-threatens-vineyards/20363149/"
"71","
        
            Wildfire in Hyde County continues to burn heading into the July Fourth weekend
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/wildfire-in-hyde-county-continues-to-burn-heading-into-the-july-fourth-weekend/20357235/"
"72","
        
            Supreme Court EPA ruling could shift focus to Cooper’s climate plan
        
    ","Liz McLaughlin","WRAL-TV (Raleigh, NC)","https://www.wral.com/supreme-court-epa-ruling-could-shift-focus-to-cooper-s-climate-plan/20355896/"
"73","
        
            ‘Ghost Kitchens’ rise amid pandemic dining
        
    ","Liz McLaughlin","KARZ-TV (Little Rock, AR)","https://www.kark.com/news/national-news/ghost-kitchens-rise-amid-pandemic-dining/"
"74","
        
            Valentine’s Day at home: Celebrating during the pandemic
        
    ","Liz McLaughlin","KFDX-TV (Wichita Falls, TX)","https://www.texomashomepage.com/news/valentines-day-at-home-celebrating-during-the-pandemic/"
"75","
        
            Pandemic tech: Upgraded masks & touchless gadgets
        
    ","Liz McLaughlin","KARZ-TV (Little Rock, AR)","https://www.kark.com/news/national/pandemic-tech-upgraded-masks-touchless-gadgets/"
"76","
        
            Could the slowing economy take the financial wind out of NC's offshore wind farms?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/11/17/slowing-economy-putting-pressure-on-offshore-wind-farms-nc-next/69617827007/"
"77","
        
            Could the slowing economy take the financial wind out of NC's offshore wind farms?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/11/17/slowing-economy-putting-pressure-on-offshore-wind-farms-nc-next/69617827007/"
"78","
        
            Powering up: Why the nuclear company founded by Bill Gates is coming to Wilmington
        
    ","Gareth McGrath","Energy Central","https://energycentral.com/news/powering-why-nuclear-company-founded-bill-gates-coming-wilmington"
"79","
        
            Wilmington Star-News
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/restricted/?return=https%3A%2F%2Fwww.starnewsonline.com%2Fstory%2Fnews%2Flocal%2F2022%2F11%2F10%2Fterrapower-founded-by-bill-gates-plans-big-investment-in-wilmington%2F69597707007%2F%3Freturn%3Dhttps%3A%2F%2Fwww.starnewsonline.com%2Fstory%2Fnews%2Flocal%2F2022%2F11%2F10%2Fterrapower-founded-by-bill-gates-plans-big-investment-in-wilmington%2F69597707007%2F"
"80","
        
            A tropical storm in mid-November? North Carolina residents are told to get prepared
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/11/08/subtropical-storm-nicole-2022-north-carolina-residents-told-to-prepare/69626099007/"
"81","
        
            A tropical storm in mid-November? North Carolina residents are told to get prepared
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/11/08/subtropical-storm-nicole-2022-north-carolina-residents-told-to-prepare/69626099007/"
"82","
        
            This Wilmington-area historical site is so popular it's getting a new visitors center
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/11/07/fort-fisher-historic-site-to-get-new-visitors-center/69578530007/"
"83","
        
            North Topsail is getting millions for beach nourishment. How long will the sand last?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/11/03/north-topsail-gets-10m-grant-for-beach-nourishment-project/69578538007/"
"84","
        
            NC - North Topsail gets $10M grant for beach nourishment project
        
    ","Gareth McGrath","Coastal News Today","https://www.coastalnewstoday.com/post/nc-north-topsail-gets-10m-grant-for-beach-nourishment-project"
"85","
        
            West Nile virus cases could set a NC record in 2022. Is it tied to climate change?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/10/27/nc-could-set-record-for-west-nile-virus-cases-2022/69561870007/"
"86","
        
            West Nile virus cases could set a NC record in 2022. Is it tied to climate change?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/10/27/nc-could-set-record-for-west-nile-virus-cases-2022/69561870007/"
"87","
        
            Could wood from NC forests soon be fueling your next airline flight?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/10/18/wood-from-nc-forests-could-be-turned-into-green-aviation-fuel/69520274007/"
"88","
        
            The NCDOT is ripping up old NC 12 on the Outer Banks. On purpose. Why?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/10/18/nc-12-outer-banks-crews-are-removing-a-troublesome-stretch/69557138007/"
"89","
        
            The NCDOT is ripping up old NC 12 on the Outer Banks. On purpose. Why?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/10/18/nc-12-outer-banks-crews-are-removing-a-troublesome-stretch/69557138007/"
"90","
        
            With recent setbacks, is North Carolina's solar power industry cooling off?
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/local/2022/10/13/solar-power-north-carolina-to-keep-growing-despite-recent-setbacks/69520307007/"
"91","
        
            With recent setbacks, is North Carolina's solar power industry cooling off?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/10/13/solar-power-north-carolina-to-keep-growing-despite-recent-setbacks/69520307007/"
"92","
        
            Learning from Hurricane Ian: Why we should prepare for more storms like it
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/2022/10/10/hurricane-ian-is-a-sign-of-storms-to-come-due-to-climate-change/69534138007/"
"93","
        
            Learning from Hurricane Ian: Why we should prepare for more storms like it
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/2022/10/10/hurricane-ian-is-a-sign-of-storms-to-come-due-to-climate-change/69534138007/"
"94","
        
            Why what happens in Florida doesn't stay in Florida: What Ian means for NC insurance rates
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/2022/10/07/hurricane-ian-nc-insurance-rates/69534137007/"
"95","
        
            Why what happens in Florida doesn't stay in Florida: What Ian means for NC insurance rates
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/2022/10/07/hurricane-ian-nc-insurance-rates/69534137007/"
"96","
        
            How important is climate change to NC voters in the 2022 midterm elections?
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/local/2022/10/03/climate-change-worries-nc-voters-but-isnt-a-major-issue-at-ballot-box/69498437007/"
"97","
        
            Years after Hurricanes Florence and Matthew, resiliency the focus of NC recovery efforts
        
    ","Gareth McGrath","Asheville Citizen Times","https://www.citizen-times.com/story/news/2022/09/27/hurricane-florence-resiliency-the-focus-as-nc-recovery-continues/8025519001/"
"98","
        
            Does tech-giant Apple still own 3,600 acres of forestland in Brunswick County? What we know
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/story/news/2022/09/25/does-apple-inc-still-own-3600-acres-of-forest-land-in-brunswick-county-north-carolina/7895899001/"
"99","
        
            Wilmington Star-News
        
    ","Gareth McGrath","StarNews","https://www.starnewsonline.com/restricted/?return=https%3A%2F%2Fwww.starnewsonline.com%2Fin-depth%2Fnews%2F2022%2F09%2F20%2Fmany-east-coast-states-cant-show-they-prepared-climate-change%2F7836594001%2F%3Freturn%3Dhttps%3A%2F%2Fwww.starnewsonline.com%2Fin-depth%2Fnews%2F2022%2F09%2F20%2Fmany-east-coast-states-cant-show-they-prepared-climate-change%2F7836594001%2F"
"100","
        
            Not all East Coast states have a plan for protecting citizens from the climate crisis
        
    ","Kim Strong","Ellwood City Ledger","https://www.ellwoodcityledger.com/in-depth/news/2022/09/20/many-east-coast-states-cant-show-they-prepared-climate-change/7836594001/"
"101","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","Blue Ridge Public Radio","https://www.bpr.org/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"102","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","WUNC-FM (Chapel Hill, NC)","https://www.wunc.org/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"103","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","WFAE-FM (Charlotte, NC)","https://www.wfae.org/energy-environment/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"104","
        
            Environmental justice board hears concerns about wood pellet plants
        
    ","David Boraks","WHQR-FM (Wilmington, NC)","https://www.whqr.org/2022-11-18/environmental-justice-board-hears-concerns-about-wood-pellet-plants"
"105","
        
            Rising cost to update Mecklenburg recycling center means higher fees
        
    ","David Boraks","wfae.prod.npr.psdops.com","https://wfae.prod.npr.psdops.com/energy-environment/2022-11-15/rising-cost-to-update-mecklenburg-recycling-center-means-higher-fees"
"106","
        
            Rising cost to update Mecklenburg recycling center means higher fees
        
    ","David Boraks","WFAE-FM (Charlotte, NC)","https://www.wfae.org/energy-environment/2022-11-15/rising-cost-to-update-mecklenburg-recycling-center-means-higher-fees"
"107","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","Blue Ridge Public Radio","https://www.bpr.org/2022-11-15/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"108","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","WUNC-FM (Chapel Hill, NC)","https://www.wunc.org/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"109","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","WFAE-FM (Charlotte, NC)","https://www.wfae.org/energy-environment/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"110","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","Blue Ridge Public Radio","https://www.bpr.org/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"111","
        
            Scientists oppose Duke Energy plans for more gas-fired plants
        
    ","David Boraks","WHQR-FM (Wilmington, NC)","https://www.whqr.org/2022-11-14/scientists-oppose-duke-energy-plans-for-more-gas-fired-plants"
"112","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WBOI-FM","https://www.wboi.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"113","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","All Sides with Ann Fisher","https://news.wosu.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"114","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","KAXE-FM (Grand Rapids, MN)","https://www.kaxe.org/news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"115","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WUOT News","https://www.wuot.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"116","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WUNC-FM (Chapel Hill, NC)","https://www.wunc.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"117","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WKYU-FM","https://www.wkyufm.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"118","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WAER-FM (Syracuse, NY)","https://www.waer.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"119","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","Dakota Datebook","https://news.prairiepublic.org/news-from-npr/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"120","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WPRL-FM","https://www.wprl.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"121","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","KENW-TV (Portales, NM)","https://www.kenw.org/npr-news/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
"122","
        
            A proposed lithium mine presents a climate versus environment conflict
        
    ","David Boraks","WCAI-FM (Woods Hole, MA)","https://www.capeandislands.org/2022-11-12/a-proposed-lithium-mine-presents-a-climate-versus-environment-conflict"
